L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | New game starting up
L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | Target game image size:  1280x720

L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | Ideal window dimensions:  1280x720

L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | Trying to start in fullscreen mode.
L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | The following frame rates are considered possible:
L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | 30 fps
L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | 60 fps
L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | 120 fps
L4 | Mon Apr 23 17:52:10 2018 (308 ms) | general | 144 fps
L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general | Sticking with user's current screen resolution
L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general | Checking if requested video mode (1920x1080) is available
L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general | Available video modes:
L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    2560 x 1600

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    2048 x 1152

L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1920 x 1440

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1920 x 1200

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1920 x 1080

L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    ^^^^ this mode matches requested mode
L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1856 x 1392

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1792 x 1344

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1680 x 1050

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1600 x 1200

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1600 x 900

L4 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1440 x 900

L5 | Mon Apr 23 17:52:10 2018 (309 ms) | general |    1400 x 1050

L5 | Mon Apr 23 17:52:10 2018 (310 ms) | general |    1366 x 768

L4 | Mon Apr 23 17:52:10 2018 (310 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Mon Apr 23 17:52:10 2018 (310 ms) | general |    1360 x 768

L4 | Mon Apr 23 17:52:10 2018 (310 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Mon Apr 23 17:52:10 2018 (310 ms) | general |    1280 x 1024

