writeFailed "错误:  游戏文件夹只读"


measuringFPS "计算最大帧率"

vsyncWarning "警告: 垂直同步禁用"
vsyncWarning2 "(可能会引起画面撕裂)"

vsyncWarning3 "显卡控制面板可以解决这个问题"

vsyncContinueMessage "按下 [Y] 跳过垂直同步 或者按下 [ESC] 退出"


fpsErrorLogin "错误:  检测到FPS不匹配。设置已修改?"



loading "加载中"

sprites "精灵"
objects "对象"
transitions "转换"
animations "动画"
categories "类别"

groundTextures "地面纹理"


spritesRebuild "精灵##(重建缓存)"
objectsRebuild "对象##(重建缓存)"
transitionsRebuild "转换##(重建缓存)"
animationsRebuild "动画##(重建缓存)"
categoriesRebuild "类别##(重建缓存)"




email "邮箱"
atSignTip "插入[@]符号"


loginButton "登录"
friendsButton "朋友"
familyTrees "家族树"

loginNoSaveButton "临时登录"

clearAccount "清空帐号"

settingsButton "设置"
postReviewButton "发布评测"
updateReviewButton "更新评测"

reviewText "评测内容"
reviewName "昵称"

recommend "推荐"
recommendYes "是"
recommendNo "否"

postButton "发布"
postReviewTip "发布到官网"

updateButton "更新"
updateReviewTip "更新到官网"

removeButton "删除"
removeReviewTip "从官网删除"


copyReviewTip "复制评测到剪切板"
copySelectionTip "复制所选文本到剪切板"

spellCheck "拼写检查"

requestDenied "发布请求被拒绝"

reviewPosted "评测已发布"
reviewUpdated "评测已更新"
reviewRemoved "评测已删除"



saveTip "保存数据到本机"
noSaveTip "不保存数据到本机"


accountKey "秘钥"
paste "粘贴"
copy "复制"
clear "清空"

charLimit "达到字符上限"


twinCode "组队码:"
generate "生成"

twinTip "把组队码发给朋友并和朋友一起出生"

twins "两人"
triplets "三人"
quadruplets "四人"

cancel "取消"

backButton "返回"
restartButton "重启游戏"
fullscreen "全屏 :"
musicLoudness "音乐 :"
soundLoudness "音效 :"

currentFPS "当前帧率 :"
targetFPS "目标帧率 :"
vsyncOn "垂直同步 :"
vsyncYes "是"
vsyncNo "否"
redetectButton "重新检测"



cursor "鼠标指针:"

system "系统"
drawn "绘制"
both "同时"

scale "缩放:"

useCustomServer "自定义服务器:"
address "服务器地址:"
port "端口:"

downloadingUpdate "正在下载更新"
applyingUpdate "正在安装更新"

serverShutdownMessage "服务器正在维护##请稍后再试"

upgradeMessage "请下载##最新版本"

updateWritePermissionMessage "更新安装失败:##请移动游戏目录到其他##可写入的文件夹"

manualRestartMessage "重启游戏以应用设置"


loginFailed "登录失败"

versionMismatch "版本不匹配 :  客户端 %d -- 服务端 %d"
disableCustomServer "禁用自定义服务器"


serverShutdown "服务器已关闭"

serverFull "服务器爆满"


waitingBirth "正在投胎"

loadingMap "加载地图"


lastAte "吃了"
lastAtePermanent "被吞噬"

breastMilk "喝了母乳"

you "你自己"
eat "吃"


eatHint "嘴"
bareHandHint "空手"
bareGroundHint "空地"
nothingHint "空无一物"
eventuallyHint "(最终)"


noHint "没有信息" 

ofHint "/"
tabHint "[TAB]"


your "你的"

mother "母亲"
son "儿子"
daughter "女儿"
grand "祖"
great "曾"

brother "兄弟"
